Ver.,日付,対応内容
V3.0.J03,2026/03/10,"3.2.1「品質コスト」および3.2.2「テストの費用対効果の関係」において、同じ意味を持つ「評定コスト」「評価コスト」の表現が揺れていたため「評定コスト」に統一"
V3.0.J02,2026/01/14,"「1 テスト活動のマネジメント」および「6 付録B-学習の目的とビジネス成果のトレーサビリティマトリクス」において、「TM-1.3.1」の説明表現を変更。「1.5.2 モデルベースのテストプロセス改善」において、TPINEXT®の説明に関して「キーエリア」と「主要分野」で表現が揺れていたため「キーエリア」に統一"
V3.0.J01,2025/07/08,ISTQB Certified Tester Advanced Level Test Management Syllabus Version 3.0 の日本語翻訳版
RC v3.0,2024/03/28,リリース候補版 - PWG が提案した最新の正式なテンプレートの変更
POST Beta v3.0,2024/02/29,校正の細かい修正
POST Beta v3.0,2024/01/31,ベータ版レビューで各国からの全コメントを反映
Betav3.0,2023/10/31,アルファ版レビューで各国からのコメントを反映
V3.0,2024/05/03,ISTQB Advanced Level Test Management シラバス V3.0 日本語版（Version3.0.J03）リリース。CTAL TM 2012 からのメジャーアップデート版。
V2012.J03,2014/03/10,1.5 テスト実装の節において説明を一部変更
V2012.J02,2013/10/19,"「ソフトウェアテスト標準用語（日本語版）Version2.2.J01」への対応。4章で使用している用語「混入フェーズ」を「フェーズ内阻止」に変更。2章で使用している用語「デグレード」を「リグレッション」に変更"
V2012.J01,2013/08/26,ISTQB Advanced Level Syllabus Test Manager Version 2012 の日本語翻訳版
